, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
12/31/1990,5963.144,23888.6,1.886
12/31/1991,6158.129,24342.2589,-0.1083
12/31/1992,6520.327,25418.9908,3.5224
12/31/1993,6858.559,26387.2937,2.7528
12/31/1994,7287.236,27694.8534,4.0288
12/31/1995,7639.749,28690.8757,2.6843
12/31/1996,8073.122,29967.7127,3.7725
12/31/1997,8577.554457,31459.139,4.4472
12/31/1998,9062.818202,32853.677,4.4814
12/31/1999,9630.664202,34513.5615,4.7532
12/31/2000,10252.34546,36334.9088,4.1275
12/31/2001,10581.8214,37133.2428,0.9983
12/31/2002,10936.41905,38023.1611,1.7417
12/31/2003,11458.24388,39496.4859,2.8612
12/31/2004,12213.72915,41712.8011,3.7989
12/31/2005,13036.64023,44114.7478,3.5132
12/31/2006,13814.61141,46298.7314,2.855
12/31/2007,14451.85866,47975.9677,1.8762
12/31/2008,14712.84408,48382.5584,-0.1366
12/31/2009,14448.93303,47099.9805,-2.5368
12/31/2010,14992.05273,48466.6576,2.5638
12/31/2011,15542.5811,49882.5581,1.5508
12/31/2012,16197.00735,51602.931,2.2495
12/31/2013,16784.8492,53106.5368,1.8421
12/31/2014,17527.1637,55049.9883,2.526
12/31/2015,18238.30057,56863.3715,3.0755
12/31/2016,18745.07569,58021.4005,1.7114
12/31/2017,19542.97918,60109.6557,2.3327
12/31/2018,20611.86093,63064.4184,2.9965
12/31/2019,21433.2247,65279.529,2.1612
12/31/2020,20936.6,63543.5778,-3.4861
